                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3022,                  3.278,                 2.1151,                 1.5545,                0.32045,                0.33568,                0.19533,                0.07768,                   0.28,                0.27891,                 0.1439,                0.04997,                 1.9545,                 4.0775,                 3.0418,                 2.1625,              0.0006642,              0.0006642,              0.0006642
                      2,                 1.4049,                 3.1022,                 1.8616,                  1.619,                0.33648,                0.28908,                0.19271,                0.08025,                0.23759,                0.20537,                0.09895,                0.03171,                 1.9304,                 4.4542,                  2.633,                 2.0887,              0.0013106,              0.0013106,              0.0013106
                      3,                 1.4005,                 3.0567,                 1.7955,                  1.603,                0.38842,                0.29371,                0.24883,                0.09612,                0.33045,                0.25763,                0.18865,                0.06274,                 2.1422,                 3.9826,                 2.7538,                 2.2895,              0.0019367,              0.0019367,              0.0019367
                      4,                 1.3651,                 2.9473,                 1.7273,                 1.5907,                0.40547,                0.31175,                0.25501,                0.12385,                0.31318,                0.22664,                0.15562,                0.05269,                 1.9125,                  3.842,                 2.5495,                 2.1542,              0.0019086,              0.0019086,              0.0019086
                      5,                 1.3197,                 2.8407,                 1.6399,                  1.551,                0.50753,                 0.3885,                0.37159,                0.19352,                0.42188,                 0.3025,                0.26061,                0.10943,                 1.6923,                 3.4977,                 2.3734,                 1.8812,              0.0018782,              0.0018782,              0.0018782
                      6,                 1.2475,                 2.7429,                 1.5598,                 1.4956,                0.55695,                0.36124,                0.37933,                0.21777,                0.50087,                 0.3184,                0.30145,                0.13591,                 1.6503,                 3.2532,                 2.1929,                 1.8097,              0.0018477,              0.0018477,              0.0018477
                      7,                 1.2325,                   2.65,                 1.5195,                 1.4909,                0.57427,                 0.3802,                0.38606,                0.21623,                0.51419,                0.34043,                0.31733,                0.15462,                  1.628,                  3.043,                  2.213,                 1.7906,              0.0018172,              0.0018172,              0.0018172
                      8,                 1.1985,                 2.5682,                 1.4639,                 1.4625,                0.60849,                0.43247,                0.44519,                0.26315,                0.56549,                0.40472,                0.38282,                0.18904,                 1.5552,                 2.9137,                 2.0219,                 1.6766,              0.0017868,              0.0017868,              0.0017868
                      9,                 1.1731,                 2.5277,                 1.4225,                 1.4403,                0.55166,                0.37449,                0.37903,                 0.2225,                0.54749,                0.35014,                0.34812,                0.17577,                 1.5613,                 2.8647,                 2.1553,                 1.6652,              0.0017563,              0.0017563,              0.0017563
                     10,                 1.1527,                 2.4418,                 1.3713,                  1.423,                0.58582,                0.39917,                0.42682,                0.24422,                0.52522,                0.35971,                0.36046,                0.18539,                  1.556,                 2.8876,                 2.0644,                 1.7006,              0.0017258,              0.0017258,              0.0017258
